claim_id,claim,evidence,component
S-row-064,"rtx4090-eu-ro-community / c1-r1000-d128-b1-f1 / current-gpu: status failed_or_unavailable, qualified False, P95 unmeasured ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 64,campaign-row
S-row-065,"rtx4090-eu-ro-community / c2-r1000-d384-b16-f001 / current-gpu: status failed_or_unavailable, qualified False, P95 unmeasured ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 65,campaign-row
S-row-066,"rtx4090-eu-ro-community / c3-r10000-d128-b16-f1 / current-gpu: status failed_or_unavailable, qualified False, P95 unmeasured ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 66,campaign-row
S-row-067,"rtx4090-eu-ro-community / c4-r10000-d384-b1-f001 / current-gpu: status failed_or_unavailable, qualified False, P95 unmeasured ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 67,campaign-row
S-row-068,"rtx4090-eu-ro-community / c5-r100000-d128-b1-f001 / current-gpu: status failed_or_unavailable, qualified False, P95 unmeasured ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 68,campaign-row
S-row-069,"rtx4090-eu-ro-community / c6-r100000-d384-b16-f1 / current-gpu: status failed_or_unavailable, qualified False, P95 unmeasured ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 69,campaign-row
S-row-070,"rtx4090-eu-ro-secure-reference-retry / c1-r1000-d128-b1-f1 / baseline-cpu: status completed, qualified True, P95 14607.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 70,campaign-row
S-row-071,"rtx4090-eu-ro-secure-reference-retry / c1-r1000-d128-b1-f1 / baseline-gpu: status completed, qualified True, P95 79148.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 71,campaign-row
S-row-072,"rtx4090-eu-ro-secure-reference-retry / c1-r1000-d128-b1-f1 / chroma: status completed, qualified True, P95 348742.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 72,campaign-row
S-row-073,"rtx4090-eu-ro-secure-reference-retry / c1-r1000-d128-b1-f1 / current-cpu: status completed, qualified True, P95 14306.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 73,campaign-row
S-row-074,"rtx4090-eu-ro-secure-reference-retry / c1-r1000-d128-b1-f1 / current-gpu: status completed, qualified True, P95 94266.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 74,campaign-row
S-row-075,"rtx4090-eu-ro-secure-reference-retry / c1-r1000-d128-b1-f1 / faiss-flat: status completed, qualified True, P95 31368.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 75,campaign-row
S-row-076,"rtx4090-eu-ro-secure-reference-retry / c1-r1000-d128-b1-f1 / numpy: status completed, qualified True, P95 61525.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 76,campaign-row
S-row-077,"rtx4090-eu-ro-secure-reference-retry / c1-r1000-d128-b1-f1 / torch-cpu: status completed, qualified True, P95 104305.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 77,campaign-row
S-row-078,"rtx4090-eu-ro-secure-reference-retry / c1-r1000-d128-b1-f1 / torch-cuda: status completed, qualified True, P95 282198.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 78,campaign-row
S-row-079,"rtx4090-eu-ro-secure-reference-retry / c2-r1000-d384-b16-f001 / chroma: status completed, qualified True, P95 3370965.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 79,campaign-row
S-row-080,"rtx4090-eu-ro-secure-reference-retry / c2-r1000-d384-b16-f001 / current-cpu: status completed, qualified True, P95 48370.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 80,campaign-row
S-row-081,"rtx4090-eu-ro-secure-reference-retry / c2-r1000-d384-b16-f001 / current-gpu: status completed, qualified True, P95 134742.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 81,campaign-row
S-row-082,"rtx4090-eu-ro-secure-reference-retry / c2-r1000-d384-b16-f001 / faiss-flat: status completed, qualified True, P95 93665.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 82,campaign-row
S-row-083,"rtx4090-eu-ro-secure-reference-retry / c2-r1000-d384-b16-f001 / numpy: status completed, qualified True, P95 48050.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 83,campaign-row
S-row-084,"rtx4090-eu-ro-secure-reference-retry / c2-r1000-d384-b16-f001 / torch-cpu: status completed, qualified True, P95 119734.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 84,campaign-row
S-row-085,"rtx4090-eu-ro-secure-reference-retry / c2-r1000-d384-b16-f001 / torch-cuda: status completed, qualified True, P95 288039.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 85,campaign-row
S-row-086,"rtx4090-eu-ro-secure-reference-retry / c3-r10000-d128-b16-f1 / current-cpu: status completed, qualified True, P95 1998788.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 86,campaign-row
S-row-087,"rtx4090-eu-ro-secure-reference-retry / c3-r10000-d128-b16-f1 / current-gpu: status completed, qualified True, P95 269484.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 87,campaign-row
S-row-088,"rtx4090-eu-ro-secure-reference-retry / c3-r10000-d128-b16-f1 / faiss-flat: status completed, qualified True, P95 482793.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 88,campaign-row
S-row-089,"rtx4090-eu-ro-secure-reference-retry / c3-r10000-d128-b16-f1 / numpy: status completed, qualified True, P95 7898524.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 89,campaign-row
S-row-090,"rtx4090-eu-ro-secure-reference-retry / c3-r10000-d128-b16-f1 / torch-cpu: status completed, qualified True, P95 460040.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 90,campaign-row
S-row-091,"rtx4090-eu-ro-secure-reference-retry / c3-r10000-d128-b16-f1 / torch-cuda: status completed, qualified True, P95 327112.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 91,campaign-row
S-row-092,"rtx4090-eu-ro-secure-reference-retry / c4-r10000-d384-b1-f001 / baseline-cpu: status completed, qualified True, P95 8185.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 92,campaign-row
S-row-093,"rtx4090-eu-ro-secure-reference-retry / c4-r10000-d384-b1-f001 / baseline-gpu: status completed, qualified True, P95 77706.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 93,campaign-row
S-row-094,"rtx4090-eu-ro-secure-reference-retry / c4-r10000-d384-b1-f001 / chroma: status completed, qualified True, P95 3262473.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 94,campaign-row
S-row-095,"rtx4090-eu-ro-secure-reference-retry / c4-r10000-d384-b1-f001 / current-cpu: status completed, qualified True, P95 8165.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 95,campaign-row
S-row-096,"rtx4090-eu-ro-secure-reference-retry / c4-r10000-d384-b1-f001 / current-gpu: status completed, qualified True, P95 91050.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 96,campaign-row
S-row-097,"rtx4090-eu-ro-secure-reference-retry / c4-r10000-d384-b1-f001 / faiss-flat: status completed, qualified True, P95 27632.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 97,campaign-row
S-row-098,"rtx4090-eu-ro-secure-reference-retry / c4-r10000-d384-b1-f001 / numpy: status completed, qualified True, P95 21831.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 98,campaign-row
S-row-099,"rtx4090-eu-ro-secure-reference-retry / c4-r10000-d384-b1-f001 / torch-cpu: status completed, qualified True, P95 99526.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 99,campaign-row
S-row-100,"rtx4090-eu-ro-secure-reference-retry / c4-r10000-d384-b1-f001 / torch-cuda: status completed, qualified True, P95 291685.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 100,campaign-row
S-row-101,"rtx4090-eu-ro-secure-reference-retry / c5-r100000-d128-b1-f001 / baseline-cpu: status completed, qualified True, P95 35867.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 101,campaign-row
S-row-102,"rtx4090-eu-ro-secure-reference-retry / c5-r100000-d128-b1-f001 / baseline-gpu: status completed, qualified True, P95 102251.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 102,campaign-row
S-row-103,"rtx4090-eu-ro-secure-reference-retry / c5-r100000-d128-b1-f001 / chroma: status completed, qualified True, P95 29165070.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 103,campaign-row
S-row-104,"rtx4090-eu-ro-secure-reference-retry / c5-r100000-d128-b1-f001 / current-cpu: status completed, qualified True, P95 34053.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 104,campaign-row
S-row-105,"rtx4090-eu-ro-secure-reference-retry / c5-r100000-d128-b1-f001 / current-gpu: status completed, qualified True, P95 95328.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 105,campaign-row
S-row-106,"rtx4090-eu-ro-secure-reference-retry / c5-r100000-d128-b1-f001 / faiss-flat: status completed, qualified True, P95 30126.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 106,campaign-row
S-row-107,"rtx4090-eu-ro-secure-reference-retry / c5-r100000-d128-b1-f001 / numpy: status completed, qualified True, P95 62697.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 107,campaign-row
S-row-108,"rtx4090-eu-ro-secure-reference-retry / c5-r100000-d128-b1-f001 / torch-cpu: status completed, qualified True, P95 111067.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 108,campaign-row
S-row-109,"rtx4090-eu-ro-secure-reference-retry / c5-r100000-d128-b1-f001 / torch-cuda: status completed, qualified True, P95 291585.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 109,campaign-row
S-row-110,"rtx4090-eu-ro-secure-reference-retry / c6-r100000-d384-b16-f1 / current-cpu: status completed, qualified True, P95 68057514.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 110,campaign-row
S-row-111,"rtx4090-eu-ro-secure-reference-retry / c6-r100000-d384-b16-f1 / current-gpu: status completed, qualified True, P95 4047861.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 111,campaign-row
S-row-112,"rtx4090-eu-ro-secure-reference-retry / c6-r100000-d384-b16-f1 / faiss-flat: status completed, qualified True, P95 33118935.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 112,campaign-row
S-row-113,"rtx4090-eu-ro-secure-reference-retry / c6-r100000-d384-b16-f1 / numpy: status completed, qualified True, P95 114172457.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 113,campaign-row
S-row-114,"rtx4090-eu-ro-secure-reference-retry / c6-r100000-d384-b16-f1 / torch-cpu: status completed, qualified True, P95 26731097.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 114,campaign-row
S-row-115,"rtx4090-eu-ro-secure-reference-retry / c6-r100000-d384-b16-f1 / torch-cuda: status completed, qualified True, P95 567332.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 115,campaign-row
S-row-116,"rtx4090-eu-ro-secure-reference-retry / c3-r10000-d128-b16-f1 / chroma: status failed, qualified False, P95 unmeasured ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 116,campaign-row
S-row-117,"rtx4090-eu-ro-secure-reference-retry / c6-r100000-d384-b16-f1 / chroma: status failed, qualified False, P95 unmeasured ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 117,campaign-row
S-row-118,"rtx4090-eu-ro-secure-reference-retry / lifecycle:add-batch / current-gpu: status completed, qualified True, P95 740094.0 ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 118,campaign-row
S-row-119,"rtx4090-eu-ro-secure-reference-retry / lifecycle:add-one / current-gpu: status completed, qualified True, P95 598309.0 ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 119,campaign-row
S-row-120,"rtx4090-eu-ro-secure-reference-retry / lifecycle:delete-batch / current-gpu: status completed, qualified True, P95 818721.0 ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 120,campaign-row
S-row-121,"rtx4090-eu-ro-secure-reference-retry / lifecycle:delete-one / current-gpu: status completed, qualified True, P95 631140.0 ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 121,campaign-row
S-row-122,"rtx4090-eu-ro-secure-reference-retry / lifecycle:reopen / current-gpu: status completed, qualified True, P95 101295702.0 ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 122,campaign-row
S-row-123,"rtx4090-eu-ro-secure-deep / d1-r5000-d384-b8-k10-f01 / baseline-cpu: status completed, qualified True, P95 414903.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 123,campaign-row
S-row-124,"rtx4090-eu-ro-secure-deep / d1-r5000-d384-b8-k10-f01 / baseline-gpu: status completed, qualified True, P95 117426.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 124,campaign-row
S-row-125,"rtx4090-eu-ro-secure-deep / d1-r5000-d384-b8-k10-f01 / chroma-ef512: status completed, qualified True, P95 12254828.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 125,campaign-row
S-row-126,"rtx4090-eu-ro-secure-deep / d1-r5000-d384-b8-k10-f01 / current-cpu: status completed, qualified True, P95 238958.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 126,campaign-row
S-row-127,"rtx4090-eu-ro-secure-deep / d1-r5000-d384-b8-k10-f01 / current-gpu: status completed, qualified True, P95 132148.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 127,campaign-row
S-row-128,"rtx4090-eu-ro-secure-deep / d1-r5000-d384-b8-k10-f01 / faiss-flat: status completed, qualified True, P95 102233.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 128,campaign-row
S-row-129,"rtx4090-eu-ro-secure-deep / d1-r5000-d384-b8-k10-f01 / numpy: status completed, qualified True, P95 215183.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 129,campaign-row
S-row-130,"rtx4090-eu-ro-secure-deep / d1-r5000-d384-b8-k10-f01 / torch-cpu: status completed, qualified True, P95 198488.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 130,campaign-row
S-row-131,"rtx4090-eu-ro-secure-deep / d1-r5000-d384-b8-k10-f01 / torch-cuda: status completed, qualified True, P95 344366.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 131,campaign-row
S-row-132,"rtx4090-eu-ro-secure-deep / d1-r5000-d384-b8-k10-f01 / usearch: status completed, qualified True, P95 4555015.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 132,campaign-row
S-row-133,"rtx4090-eu-ro-secure-deep / d2-r25000-d384-b64-k10-f1 / current-cpu: status completed, qualified True, P95 69060968.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 133,campaign-row
S-row-134,"rtx4090-eu-ro-secure-deep / d2-r25000-d384-b64-k10-f1 / current-gpu: status completed, qualified True, P95 1262164.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 134,campaign-row
S-row-135,"rtx4090-eu-ro-secure-deep / d2-r25000-d384-b64-k10-f1 / faiss-flat: status completed, qualified True, P95 25346033.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 135,campaign-row
S-row-136,"rtx4090-eu-ro-secure-deep / d2-r25000-d384-b64-k10-f1 / numpy: status completed, qualified True, P95 105074537.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 136,campaign-row
S-row-137,"rtx4090-eu-ro-secure-deep / d2-r25000-d384-b64-k10-f1 / torch-cpu: status completed, qualified True, P95 12037133.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 137,campaign-row
S-row-138,"rtx4090-eu-ro-secure-deep / d2-r25000-d384-b64-k10-f1 / torch-cuda: status completed, qualified True, P95 515684.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 138,campaign-row
S-row-139,"rtx4090-eu-ro-secure-deep / d2-r25000-d384-b64-k10-f1 / usearch: status completed, qualified False, P95 83313304.0 ns, recall 0.3453125000000001",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 139,campaign-row
S-row-140,"rtx4090-eu-ro-secure-deep / d3-r50000-d384-b1-k10-compound / baseline-cpu: status completed, qualified True, P95 9484.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 140,campaign-row
S-row-141,"rtx4090-eu-ro-secure-deep / d3-r50000-d384-b1-k10-compound / baseline-gpu: status completed, qualified True, P95 89335.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 141,campaign-row
S-row-142,"rtx4090-eu-ro-secure-deep / d3-r50000-d384-b1-k10-compound / chroma-ef512: status completed, qualified True, P95 64596839.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 142,campaign-row
S-row-143,"rtx4090-eu-ro-secure-deep / d3-r50000-d384-b1-k10-compound / current-cpu: status completed, qualified True, P95 7471.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 143,campaign-row
S-row-144,"rtx4090-eu-ro-secure-deep / d3-r50000-d384-b1-k10-compound / current-gpu: status completed, qualified True, P95 144707.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 144,campaign-row
S-row-145,"rtx4090-eu-ro-secure-deep / d3-r50000-d384-b1-k10-compound / faiss-flat: status completed, qualified True, P95 29294.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 145,campaign-row
S-row-146,"rtx4090-eu-ro-secure-deep / d3-r50000-d384-b1-k10-compound / numpy: status completed, qualified True, P95 24997.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 146,campaign-row
S-row-147,"rtx4090-eu-ro-secure-deep / d3-r50000-d384-b1-k10-compound / torch-cpu: status completed, qualified True, P95 107101.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 147,campaign-row
S-row-148,"rtx4090-eu-ro-secure-deep / d3-r50000-d384-b1-k10-compound / torch-cuda: status completed, qualified True, P95 320190.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 148,campaign-row
S-row-149,"rtx4090-eu-ro-secure-deep / d3-r50000-d384-b1-k10-compound / usearch: status completed, qualified True, P95 24580013.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 149,campaign-row
S-row-150,"rtx4090-eu-ro-secure-deep / d6-r25000-d768-b64-k64-f001 / current-cpu: status completed, qualified True, P95 3001905.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 150,campaign-row
S-row-151,"rtx4090-eu-ro-secure-deep / d6-r25000-d768-b64-k64-f001 / current-gpu: status completed, qualified True, P95 492659.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 151,campaign-row
S-row-152,"rtx4090-eu-ro-secure-deep / d6-r25000-d768-b64-k64-f001 / faiss-flat: status completed, qualified True, P95 909195.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 152,campaign-row
S-row-153,"rtx4090-eu-ro-secure-deep / d6-r25000-d768-b64-k64-f001 / numpy: status completed, qualified True, P95 787081.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 153,campaign-row
S-row-154,"rtx4090-eu-ro-secure-deep / d6-r25000-d768-b64-k64-f001 / torch-cpu: status completed, qualified True, P95 771838.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 154,campaign-row
S-row-155,"rtx4090-eu-ro-secure-deep / d6-r25000-d768-b64-k64-f001 / torch-cuda: status completed, qualified True, P95 538297.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 155,campaign-row
S-row-156,"rtx4090-eu-ro-secure-deep / real-r100000-d384-b16-k10-f001 / chroma-ef512: status completed, qualified True, P95 555963681.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 156,campaign-row
S-row-157,"rtx4090-eu-ro-secure-deep / real-r100000-d384-b16-k10-f001 / current-cpu: status completed, qualified True, P95 941633.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 157,campaign-row
S-row-158,"rtx4090-eu-ro-secure-deep / real-r100000-d384-b16-k10-f001 / current-gpu: status completed, qualified True, P95 171958.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 158,campaign-row
S-row-159,"rtx4090-eu-ro-secure-deep / real-r100000-d384-b16-k10-f001 / faiss-flat: status completed, qualified True, P95 242735.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 159,campaign-row
S-row-160,"rtx4090-eu-ro-secure-deep / real-r100000-d384-b16-k10-f001 / numpy: status completed, qualified True, P95 749214.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 160,campaign-row
S-row-161,"rtx4090-eu-ro-secure-deep / real-r100000-d384-b16-k10-f001 / torch-cpu: status completed, qualified True, P95 268323.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 161,campaign-row
S-row-162,"rtx4090-eu-ro-secure-deep / real-r100000-d384-b16-k10-f001 / torch-cuda: status completed, qualified True, P95 351387.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 162,campaign-row
S-row-163,"rtx4090-eu-ro-secure-deep / real-r100000-d384-b16-k10-f001 / usearch: status completed, qualified True, P95 294632365.0 ns, recall 0.99994",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 163,campaign-row
S-row-164,"rtx4090-eu-ro-secure-deep / d2-r25000-d384-b64-k10-f1 / chroma-ef512: status failed, qualified False, P95 unmeasured ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 164,campaign-row
S-row-165,"rtx4090-eu-ro-secure-deep / d4-r100000-d768-b1-k1-f1 / current-cpu: status failed, qualified False, P95 unmeasured ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 165,campaign-row
S-row-166,"rtx4090-eu-ro-secure-deep / d5-r100000-d768-b8-k64-f01 / current-cpu: status failed, qualified False, P95 unmeasured ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 166,campaign-row
S-row-167,"rtx4090-eu-ro-secure-deep768 / d4-r100000-d768-b1-k1-f1 / current-cpu: status invalid_harness, qualified False, P95 unmeasured ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 167,campaign-row
S-row-168,"rtx4090-eu-ro-secure-deep768 / d5-r100000-d768-b8-k64-f01 / current-cpu: status invalid_harness, qualified False, P95 unmeasured ns, recall unmeasured",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 168,campaign-row
S-row-169,"rtx4090-eu-ro-secure-deep768-admission-fix / d4-r100000-d768-b1-k1-f1 / current-cpu: status completed, qualified True, P95 9408908.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 169,campaign-row
S-row-170,"rtx4090-eu-ro-secure-deep768-admission-fix / d4-r100000-d768-b1-k1-f1 / current-gpu: status completed, qualified True, P95 897146.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 170,campaign-row
S-row-171,"rtx4090-eu-ro-secure-deep768-admission-fix / d4-r100000-d768-b1-k1-f1 / faiss-flat: status completed, qualified True, P95 14800348.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 171,campaign-row
S-row-172,"rtx4090-eu-ro-secure-deep768-admission-fix / d4-r100000-d768-b1-k1-f1 / numpy: status completed, qualified True, P95 15342732.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 172,campaign-row
S-row-173,"rtx4090-eu-ro-secure-deep768-admission-fix / d4-r100000-d768-b1-k1-f1 / torch-cpu: status completed, qualified True, P95 18694852.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 173,campaign-row
S-row-174,"rtx4090-eu-ro-secure-deep768-admission-fix / d4-r100000-d768-b1-k1-f1 / torch-cuda: status completed, qualified True, P95 670757.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 174,campaign-row
S-row-175,"rtx4090-eu-ro-secure-deep768-admission-fix / d5-r100000-d768-b8-k64-f01 / current-cpu: status completed, qualified True, P95 28598793.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 175,campaign-row
S-row-176,"rtx4090-eu-ro-secure-deep768-admission-fix / d5-r100000-d768-b8-k64-f01 / current-gpu: status completed, qualified True, P95 896204.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 176,campaign-row
S-row-177,"rtx4090-eu-ro-secure-deep768-admission-fix / d5-r100000-d768-b8-k64-f01 / faiss-flat: status completed, qualified True, P95 3055385.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 177,campaign-row
S-row-178,"rtx4090-eu-ro-secure-deep768-admission-fix / d5-r100000-d768-b8-k64-f01 / numpy: status completed, qualified True, P95 6202396.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 178,campaign-row
S-row-179,"rtx4090-eu-ro-secure-deep768-admission-fix / d5-r100000-d768-b8-k64-f01 / torch-cpu: status completed, qualified True, P95 2936026.0 ns, recall 1.0",research/artifacts/runpod-small-2026-09-05/report/performance-matrix.csv row 179,campaign-row
