split,query_index,ids
evaluation,54,57651;53703;2811;25486;22831;92849;11267;2445;8789;18731;53273;18723;90502;52386;76642;46725;11755;59659;98454;96800;66278;14735;79466;41501;15579;6098;14955;2153;6297;77589;47478;7623;98345;2339;41642;26849;95260;35718;16802;34298;68924;82970;61115;60946;7631;5783;88960;46408;68982;78846;96672;72853;2025;29968;5258;14081;27865;8055;24758;39411;370;93061;8238;17282
evaluation,55,86161;34115;48850;86844;59528;65526;41210;931;68157;19036;57317;65591;29405;77789;49907;87556;32760;16577;2073;3921;33950;5031;56686;78202;92587;20336;37249;6197;79857;26909;98939;54391;50843;2677;3503;29474;90729;84202;62715;73386;9859;12714;10682;69808;5053;77782;54626;19531;10427;14837;56898;57065;64353;82677;80037;20037;47699;74635;8818;61609;22343;31310;71991;86485
evaluation,56,7383;57317;97;76622;19502;38270;37442;3475;2691;26944;469;28486;18609;1869;46347;39240;20261;2806;45189;78446;7829;70432;2472;10775;78906;33970;18665;23224;51890;45563;3495;82202;56651;26319;72746;82524;49739;27385;84605;47256;65088;93282;29459;92358;83931;25837;5255;68811;58425;24189;18719;127;210;50896;22;45755;45993;3351;72260;27205;18345;87928;38089;54706
evaluation,57,20173;19659;53227;11887;85534;27133;20809;10273;84680;96960;15573;61240;76984;16409;57974;49012;74910;54295;987;70869;45891;48437;13905;72437;43650;67205;71485;17689;93300;28908;86082;410;60296;8973;1077;1307;5627;65561;35567;45797;6978;25184;79931;87173;51526;14150;12007;51350;10019;90664;27452;2089;86569;94398;9325;74277;582;75714;92783;26944;7759;7249;63057;39697
evaluation,58,90715;18939;52857;43462;79373;40911;73470;36878;18113;30145;88096;91179;95160;8819;2951;53186;8197;88822;10345;46550;3501;41485;29510;62441;61193;659;94519;22923;88932;27909;33529;927;86722;7263;88336;66592;49734;7997;51994;48065;16115;5405;25318;5739;94977;8784;42042;25086;10189;2393;13275;96357;84306;38725;15819;81781;7439;3425;3893;77012;5838;21833;9001;71720
evaluation,59,52088;55742;50945;25624;6933;77904;84436;13521;83509;61411;54158;91364;69169;13045;2951;573;65997;75496;6947;56130;1731;58371;1915;53317;19966;9943;36407;78086;74129;2805;97345;85581;85874;69901;61553;3881;86100;40543;23764;76449;10369;37129;32439;87777;3397;47464;7437;547;91150;406;94665;18319;4585;19798;1043;11431;22497;95260;6695;89637;96655;33328;71311;21117
evaluation,60,8093;74830;88325;84378;59930;16039;94023;16073;18199;40230;42307;20610;79425;42832;58485;57573;95808;9478;52603;67512;42200;8009;51526;82246;38246;39795;93126;94113;11481;93604;97531;33944;4685;90708;74129;7829;79403;28198;53703;61577;26393;425;88932;6373;36158;10101;50178;19113;26542;15447;58031;38369;42918;34039;26593;18741;11061;53273;60357;11851;50824;20419;82099;69308
evaluation,61,489;73016;10682;97455;94678;26354;21158;45066;27541;2011;81216;70406;3513;25405;98513;24592;60762;6965;11137;4097;46897;48945;7633;907;82812;50422;42813;28243;42761;69950;27039;41773;12003;87243;19921;6935;43437;13959;74444;50438;7941;11800;35563;60609;53217;84221;57376;13810;49902;86743;24523;20622;32211;68421;82631;61577;44442;8537;62531;23633;61028;46257;5473;81509
evaluation,62,25046;71634;24652;11941;37249;22098;90892;22104;64504;41401;61967;73046;6951;91946;57985;17497;61206;5293;91330;79885;1278;65748;40885;55273;83758;7659;85048;92826;96754;14131;6391;56137;13957;50438;1997;55161;48881;43831;32685;85130;11067;15161;44471;17801;39240;835;53236;40102;1639;16107;16315;74810;80973;13778;42763;52280;18731;59337;11861;28013;1443;97656;55009;66312
evaluation,63,6933;67;55782;33884;1255;94805;5701;10649;39074;92144;83580;43789;3229;65062;5774;88128;61738;46939;61656;21305;7869;30771;25443;59904;93347;49536;6773;13778;54295;1659;99308;1531;62048;89594;35726;73220;15038;49210;22513;30398;4078;33183;44966;2211;80924;11131;43583;19155;18923;51003;90724;57115;66601;87411;33391;41976;51181;14093;57056;62578;68846;47797;12909;90490
